segmentnrs	original	stemmed
T06D4064:168A-6	zhes bya ba smos so ;	zhes byed ba smos so 
T06D4064:168A-7	/ rnam par rtog pa zhes bya ba ni 'dir gzhan gyi dbang gi ngo bo bstan to //	rnam ba rtogs ba zhes byed ba ni mang gzhan gyi dbang gi ngo 'bo ston to 
T06D4064:168A-8	rkyen las byung zhes bya ba des ni gzhan gyi dbang zhes brjod pa'i 'byung ba'i rgyu bstan to //	rkyen las 'byung zhes byed ba des ni gzhan gyi dbang zhes rjod ba mang ba rgyu ston to 
T06D4064:168A-9	de la kun du rtogs pa ni dge ba dang mi dge ba dang /	de la kun du rtogs ba ni dge ba dang mi dge ba dang 
T06D4064:168A-10	lung du ma bstan pa'i bye brag tha dad pa khams gsum pa'i sems dang sems las byung ba rnams te /	lung du ma ston ba 'bye brag tha dad ba khams gsum ba sems dang sems las 'byung ba rnams te 
T06D4064:168A-11	ji skad du /	ji skad du 
T06D4064:168A-12	yang dag ma yin kun rtog ni //	yang 'dag ma yin kun rtogs ni 
T06D4064:168A-13	sems dang sems byung khams gsum pa //	sems dang sems 'byung khams gsum ba 
T06D4064:168A-14	zhes bshad pa lta bu'o //	zhes 'chad ba lta bu 
T06D4064:168A-15	rgyu dang rkyen gzhan gyi dbang bya bas gzhan gyi dbang ste /	rgyu dang rkyen gzhan gyi dbang byed ba gzhan gyi dbang ste 
T06D4064:168A-16	skyed ces bya ba'i tha tshig ste /	skyed ces byed ba tha tshig ste 
T06D4064:168A-17	bdag las gzhan pa'i rgyu rkyen rnams la rag las shing skye ba bya bar bstan par 'gyur ro //	bdag las gzhan ba rgyu rkyen rnams la rag las shing skye ba byed ba ston ba mang ro 
T06D4064:168A-18	gzhan gyi dang bshad zin to /	gzhan gyi dang 'chad zin to 
T06D4064:168A-19	"//
 / yongs su grub pa ji lta bu zhe na /"	yongs su 'grub ba ji lta bu zhe na 
T06D4064:168A-20	de'i phyir /	de phyir 
T06D4064:168A-21	grub ni de la snga ma po //	'grub ni de la snga ma po 
T06D4064:168A-22	rtag tu med par gyur pa gang //	rtag tu med ba gyur ba gang 
T06D4064:168A-23	zhes bya ba smos so //	zhes byed ba smos so 
T06D4064:168A-24	mi 'gyur bas yongs su grub pa'o //	mi mang ba yongs su 'grub ba 
T06D4064:168A-25	de la zhes bya ba ni gzhan gyi dbang ngo //	de la zhes byed ba ni gzhan gyi dbang ngo 
T06D4064:168A-26	snga ma po zhes bya ba ni kun brtags pa nyid do //	snga ma po zhes byed ba ni kun rtog ba nyid do 
T06D4064:168A-27	rnam par rtog pa de la gzung ba dang 'dzin pa'i dngos por kun brtags pa ste /	rnam ba rtogs ba de la gzung ba dang mang ba dngos por kun rtog ba ste 
T06D4064:168A-28	'di ltar de la gzung ba dang 'dzin pa med pa bzhin du kun brtags pa kun brtags zhes bya'o //	mang ltar de la gzung ba dang mang ba med ba bzhin du kun rtog ba kun rtog zhes byed 
T06D4064:168A-29	gzung ba dang 'dzin pa de dang gzhan gyi dbang de rtag tu dus thams cad du gtan du bral ba de ni yongs su grub pa'i ngo bo nyid do //	gzung ba dang mang ba de dang gzhan gyi dbang de rtag tu dus thams cad du gtan du 'bral ba de ni yongs su 'grub ba ngo 'bo nyid do 
T06D4064:168A-30	de'i phyir de nyid gzhan dbang las //	de phyir de nyid gzhan dbang las 
